,target1,target2
1181,9655,468
1182,9472,469
1183,10095,469
1184,9695,469
1185,8472,470
1186,9941,470
1187,10883,470
1188,9403,470
1189,9348,470
1190,8640,471
1191,9044,471
1192,9868,471
1193,8912,472
1194,8973,472
1195,9644,472
1196,9405,473
1197,10928,474
1198,8553,475
1199,9315,475
1200,10192,475
1201,9321,475
1202,8674,475
1203,8519,475
1204,8952,476
1205,9415,476
1206,9207,476
1207,9499,476
1208,10060,476
1209,8784,476
1210,8362,477
1211,8424,478
1212,8838,478
1213,10684,478
1214,10808,478
1215,8952,478
1216,8454,478
1217,10139,478
1218,9554,478
1219,10060,478
1220,8793,478
1221,8793,478
1222,10568,479
1223,8454,479
1224,8454,479
1225,10568,480
1226,8667,481
1227,10694,481
1228,10109,482
1229,11021,482
1230,8705,482
1231,8391,482
1232,10685,482
1233,10052,482
1234,10209,482
1235,9828,482
1236,9423,482
1237,10205,483
1238,9215,483
1239,9899,483
1240,10420,484
1241,9817,485
1242,10095,485
1243,9817,485
1244,9655,486
1245,9900,487
1246,10052,488
1247,9665,489
1248,9052,489
1249,8459,490
1250,9382,490
1251,9052,491
1252,9524,492
1253,10085,493
1254,9098,493
1255,10442,494
1256,9423,494
1257,8559,495
1258,9379,495
1259,9870,495
1260,9637,495
1261,8374,496
1262,10517,497
1263,10160,497
1264,9955,498
1265,10160,498
1266,10160,498
1267,9268,499
1268,10646,500
1269,9971,500
1270,8778,500
1271,8468,501
1272,8416,501
1273,10214,501
1274,8485,502
1275,8939,502
1276,10257,502
1277,8742,502
1278,8391,502
1279,9003,502
1280,9276,502
1281,10052,502
1282,8797,502
1283,9935,502
1284,10209,502
1285,8497,502
1286,9828,502
1287,9326,502
1288,9455,503
1289,8859,504
1290,8556,504
1291,9828,504
1292,8418,504
1293,9804,504
1294,8784,504
1295,8835,504
1296,9072,504
1297,9155,505
1298,10524,505
1299,9072,505
1300,8773,506
1301,9954,506
1302,8543,506
1303,8393,506
1304,8729,506
1305,11021,506
1306,8705,506
1307,8797,506
1308,10052,506
1309,8497,506
1310,9935,506
1311,9828,506
1312,10330,506
1313,9414,507
1314,9414,508
1315,9053,509
1316,9935,509
1317,10074,509
1318,8425,510
1319,9838,511
1320,10713,512
1321,9010,512
1322,9010,512
1323,10109,513
1324,8653,513
1325,9406,514
1326,10102,515
1327,8793,516
1328,10186,517
1329,9125,518
1330,8560,519
1331,9707,519
1332,9655,519
1333,9494,519
1334,9986,520
1335,10017,521
1336,8759,522
1337,9644,523
1338,10903,524
1339,9971,525
1340,10150,526
1341,9728,527
1342,9201,528
1343,9644,528
1344,8448,529
1345,10096,530
1346,10072,530
1347,8912,531
1348,10561,532
1349,9877,533
1350,8352,534
1351,10724,534
1352,9472,534
1353,10920,534
1354,10049,534
1355,10060,535
1356,9554,535
1357,9223,536
1358,10074,536
1359,9124,536
1360,8877,537
1361,9043,537
1362,8590,538
1363,10536,538
1364,9178,538
1365,9607,538
1366,9899,538
1367,10803,538
1368,10839,539
1369,10997,539
1370,10060,539
1371,10210,540
1372,10549,540
1373,9773,540
1374,9986,540
1375,8395,540
1376,8922,541
1377,8653,542
1378,9739,543
1379,10240,543
1380,9554,544
1381,8793,544
1382,9906,545
1383,10397,545
1384,9355,546
1385,8675,547
1386,8578,548
1387,8747,548
1388,10472,549
1389,8578,549
1390,9506,550
1391,10202,551
1392,10221,551
1393,9466,551
1394,9637,551
1395,10524,552
1396,8558,553
1397,8742,553
1398,10685,553
1399,8831,554
1400,10095,555
1401,8831,555
1402,10524,556
1403,8425,557
1404,10876,557
1405,9057,558
1406,9983,558
1407,9692,559
1408,8705,560
1409,10524,561
1410,9905,562
1411,9865,562
1412,10072,563
1413,9093,564
1414,8704,565
1415,8939,565
1416,9430,565
1417,8797,565
1418,9326,565
1419,8402,566
1420,8420,566
1421,10997,566
1422,9569,566
1423,10222,566
1424,8875,567
1425,10222,567
1426,8483,568
1427,8983,568
1428,10089,569
1429,8484,569
1430,10766,569
1431,10090,569
1432,9906,569
1433,10049,569
1434,9310,570
1435,9637,571
1436,10644,572
1437,10060,573
1438,8842,574
1439,8842,575
1440,9121,576
1441,9906,577
1442,10823,578
1443,10210,578
1444,10058,578
1445,10509,578
1446,9719,578
1447,10099,578
1448,10561,578
1449,9549,578
1450,9695,578
1451,10549,579
1452,10493,579
1453,9906,579
1454,10626,579
1455,10240,579
1456,9036,580
1457,8759,580
1458,8722,580
1459,10604,580
1460,9550,580
1461,9233,580
1462,10124,580
1463,8675,580
1464,8418,580
1465,10882,581
1466,10882,582
1467,9030,583
1468,8668,584
1469,8849,584
1470,8495,585
1471,10000,585
1472,10159,586
1473,10783,587
1474,8838,587
1475,9525,587
1476,8793,587
1477,9046,588
1478,10223,589
1479,8859,589
1480,10011,589
1481,9865,589
1482,10012,589
1483,10010,589
1484,10522,589
1485,8976,589
1486,10011,589
1487,8976,590
1488,10011,590
1489,8976,591
1490,10507,592
1491,10016,592
1492,10087,592
1493,10511,592
1494,9008,592
1495,8836,592
1496,10561,592
1497,9455,592
1498,9899,592
1499,8747,592
1500,8674,592
1501,9864,592
1502,10120,593
1503,8494,593
1504,10205,593
1505,10000,594
1506,9804,595
1507,9048,595
1508,8558,596
1509,10209,596
1510,9125,597
1511,10796,597
1512,10235,597
1513,8438,597
1514,10442,597
1515,9125,597
1516,9121,597
1517,10859,597
1518,9695,597
1519,8830,598
1520,9182,598
1521,9201,598
1522,9382,598
1523,8654,598
1524,10700,599
1525,8415,599
1526,8756,599
1527,10687,599
1528,8381,599
1529,9823,599
1530,8883,599
1531,9506,599
1532,10397,600
1533,9172,601
1534,9663,601
1535,9394,601
1536,8439,601
1537,10022,601
1538,9695,602
1539,9615,603
1540,8498,603
1541,10442,603
1542,9423,603
1543,9155,604
1544,10524,604
1545,10552,604
1546,10599,605
1547,10082,605
1548,9637,606
1549,10082,606
1550,9299,607
1551,9784,607
1552,9695,607
1553,10442,608
1554,9423,608
1555,9695,608
1556,9870,609
1557,10804,610
1558,9763,610
1559,10724,610
1560,10070,610
1561,9603,610
1562,9773,610
1563,9272,610
1564,8912,610
1565,9663,610
1566,8986,610
1567,10061,610
1568,8778,610
1569,9121,610
1570,9695,610
1571,9449,611
1572,8501,612
1573,9233,613
1574,9106,614
1575,8793,614
1576,10176,615
1577,8977,615
1578,8367,615
1579,10552,615
1580,9644,616
1581,8503,617
1582,8984,618
1583,9583,619
1584,9121,620
1585,8362,621
1586,9360,621
1587,9999,622
1588,9457,622
1589,9494,623
1590,10049,624
1591,10088,625
1592,8807,625
1593,9773,625
1594,9515,625
1595,9890,626
1596,8950,627
1597,10997,628
1598,9030,629
1599,8793,629
1600,9602,630
1601,9125,630
1602,10796,630
1603,9449,630
1604,10057,630
1605,10472,630
1606,10803,630
1607,10920,630
1608,10082,630
1609,9125,630
1610,10604,630
1611,8498,630
1612,9784,630
1613,8784,630
1614,10552,630
1615,10049,630
1616,8835,630
1617,9216,631
1618,8793,632
1619,4929,632
1620,8654,632
1621,9403,633
1622,9919,634
1623,9982,634
1624,9155,634
1625,10524,634
1626,8413,635
1627,9785,635
1628,10650,635
1629,8680,635
1630,8700,635
1631,8413,635
1632,8807,635
1633,8905,635
1634,8887,635
1635,8680,635
1636,8977,635
1637,9954,635
1638,8497,635
1639,8944,635
1640,9650,635
1641,10826,635
1642,8543,635
1643,8756,635
1644,11016,635
1645,10148,635
1646,10308,635
1647,8729,635
1648,8741,635
1649,8723,635
1650,9890,635
1651,10209,635
1652,8497,635
1653,9048,636
1654,8722,637
1655,10124,637
1656,11030,638
1657,10643,638
1658,9833,638
1659,10890,638
1660,10022,639
